question,correct_answer,incorrect_1,incorrect_2,incorrect_3
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên đương nhiên bị cách chức chức danh Kiểm sát viên khi nào?",Khi bị kết tội bằng bản án của Tòa án đã có hiệu lực pháp luật,Tất cả đều đúng,"Khi Vi phạm trong khi thực hành quyền công tố, kiểm sát hoạt động tư pháp",Khi Vi phạm về phẩm chất đạo đức
"Theo Luật Luật tổ chức VKSND 2014, Chế độ tiền lương đối với Kiểm sát viên, Điều tra viên, Kiểm tra viên, quân nhân khác, công chức, viên chức và người lao động khác của Viện kiểm sát quân sự:",thực hiện theo chế độ của quân đội,do Ủy ban thường vụ Quốc hội quyết định,do Viện trưởng Viện kiểm sát nhân dân tối cao quyết định,do Chính phủ
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên có những nhiệm vụ, quyền hạn nào sau đây:",tất cả đều đúng,"Giúp Kiểm sát viên thực hiện hoạt động khác khi thực hành quyền công tố, kiểm sát hoạt động tư pháp","Nghiên cứu hồ sơ vụ, việc và báo cáo kết quả với Kiểm sát viên","Lập hồ sơ kiểm sát vụ, việc"
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào điều động, luân chuyển Kiểm sát viên, Kiểm tra viên, quân nhân khác, công chức, viên chức giữa các Viện kiểm sát quân sự không cùng quân khu và tương đương?",Bộ trưởng Bộ Quốc phòng,Ủy ban thường vụ Quốc hội,Tư lệnh quân khu và tương đương,Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Những việc Kiểm sát viên không được làm",tất cả đều đúng,"Đưa hồ sơ, tài liệu của vụ án, vụ việc ra khỏi cơ quan nếu không vì nhiệm vụ được giao hoặc không được sự đồng ý của người có thẩm quyền","Những việc mà pháp luật quy định cán bộ, công chức không được làm",
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên đương nhiên được miễn nhiệm chức danh Kiểm sát viên khi nào?",do chuyển ngành,Vì hoàn cảnh gia đình,vì lý do khác mà xét thấy không thể hoàn thành nhiệm vụ được giao,Vì lý do sức khỏe
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quyết định điều động, luân chuyển công chức giữa các Viện kiểm sát nhân dân trong cùng một tỉnh, thành phố trực thuộc trung ương?",Viện trưởng Viện kiểm sát nhân dân cấp tỉnh,Viện trưởng Viện kiểm sát nhân dân cấp huyện,Viện trưởng Viện kiểm sát nhân dân cấp cao,Viện kiểm sát nhân dân cấp tỉnh
"Theo Luật Luật tổ chức VKSND 2014, Trụ sở, trang thiết bị, phương tiện làm việc của Viện kiểm sát quân sự do ai bảo đảm?",Chính phủ,Bộ trưởng Bộ Quốc phòng,Chủ tịch nước,Ủy ban thường vụ Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Hội đồng tuyển chọn Kiểm sát viên Viện kiểm sát nhân dân tối cao gồm có Chủ tịch là chỉ thể nào?",Viện trưởng Viện kiểm sát nhân dân tối cao,Trung ương Hội luật gia Việt Nam,Ủy ban Thường vụ Quốc hội,đại diện lãnh đạo Bộ Quốc phòng
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:","Tuyệt đối trung thành với Tổ quốc, tận tụy phục vụ nhân dân","Bảo đảm sự lãnh đạo của Đảng Cộng sản Việt Nam, sự quản lý của Nhà nước","Không ngừng phấn đấu, học tập và làm theo lời dạy của Chủ tịch Hồ Chí Minh “Công minh, chính trực, khách quan, thận trọng, khiêm tốn”",Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Lời tuyên thệ của Người được bổ nhiệm vào các ngạch Kiểm sát viên là:",Đấu tranh không khoan nhượng với mọi tội phạm và vi phạm pháp luật,"Bảo đảm sự lãnh đạo của Đảng Cộng sản Việt Nam, sự quản lý của Nhà nước","Không ngừng phấn đấu, học tập và làm theo lời dạy của Chủ tịch Hồ Chí Minh “Công minh, chính trực, khách quan, thận trọng, khiêm tốn”",Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Kiểm tra viên không có ngạch nào sau đây",Kiểm tra viên trung cấp,Kiểm tra viên chính,Kiểm tra viên,Kiểm tra viên cao cấp
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",tất cả đều đúng,"Bổ nhiệm, miễn nhiệm, cách chức iểm sát viên sơ cấp",cách chức Kiểm sát viên trung cấp,Bổ nhiệm Kiểm sát viên cao cấp
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:","đề nghị Ủy ban thường vụ Quốc hội giải thích Hiến pháp, luật, pháp lệnh","Bổ nhiệm, miễn nhiệm, cách chức iểm sát viên sơ cấp",tất cả đều đúng,cách chức Kiểm sát viên trung cấp
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",Chịu trách nhiệm và báo cáo công tác trước Quốc hội,"Bổ nhiệm, miễn nhiệm, cách chức iểm sát viên sơ cấp",tất cả đều đúng,cách chức Kiểm sát viên trung cấp
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",tất cả đều đúng,đề nghị Ủy ban thường vụ Quốc hội giải thích Lệnh,"đề nghị Ủy ban thường vụ Quốc hội giải thích Hiến pháp, luật, pháp lệnh","đề nghị Quốc hội giải thích Hiến pháp, luật, pháp lệnh"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:","đề nghị Ủy ban thường vụ Quốc hội giải thích Hiến pháp, luật, pháp lệnh",đề nghị Ủy ban thường vụ Quốc hội giải thích Lệnh,"đề nghị Quốc hội giải thích Hiến pháp, luật, pháp lệnh","trả lời chất vấn, kiến nghị, yêu cầu của Chính phủ"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",Chịu trách nhiệm và báo cáo công tác trước Quốc hội,đề nghị Ủy ban thường vụ Quốc hội giải thích Lệnh,"đề nghị Ủy ban thường vụ Quốc hội giải thích Hiến pháp, luật, pháp lệnh","đề nghị Quốc hội giải thích Hiến pháp, luật, pháp lệnh"
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên trung cấp là:",Đã là Kiểm sát viên sơ cấp ít nhất 05 năm,Đã là Kiểm sát viên sơ cấp ít nhất 04 năm,Đã là Kiểm sát viên sơ cấp ít nhất 03 năm,Đã là Kiểm sát viên sơ cấp ít nhất 07 năm
"Theo Luật Luật tổ chức VKSND 2014, Viện kiểm sát quân sự trung ương có Viện trưởng là ngạch Kiểm sát viên loại nào?",Kiểm sát viên Viện kiểm sát nhân dân tối cao,Kiểm sát viên cao cấp,Kiểm sát viên chính,Kiểm sát viên Viện kiểm sát nhân dân tối cao hoặc Kiểm sát viên cao cấp
"Theo Luật Luật tổ chức VKSND 2014, Kiểm sát viên, Điều tra viên, Kiểm tra viên của Viện kiểm sát quân sự được cấp trang phục theo chế độ của đơn vị nào?",quân đội,Viện kiểm sát,Tòa án,Chính phủ
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn truy tố là?","Quyết định gia hạn, không gia hạn thời hạn truy tố, thời hạn áp dụng các biện pháp ngăn chặn","Kiểm sát hoạt động tố tụng hình sự của người tham gia tố tụng; yêu cầu, kiến nghị cơ quan, tổ chức, cá nhân có thẩm quyền xử lý nghiêm minh người tham gia tố tụng vi phạm pháp luật.",Tất cả đều đúng,"Kiến nghị cơ quan, tổ chức hữu quan áp dụng biện pháp phòng ngừa tội phạm và vi phạm pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm, điều kiện nâng ngạch Kiểm tra viên do ………quy định",Ủy ban thường vụ Quốc hội,Thủ tướng,Chính phủ,Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn bổ nhiệm Kiểm sát viên sơ cấp là:",Có thời gian làm công tác pháp luật từ 04 năm trở lên,Có thời gian làm công tác pháp luật từ 07 năm trở lên,Có thời gian làm công tác pháp luật từ 05 năm trở lên,Có thời gian làm công tác pháp luật từ 03 năm trở lên
"Theo Luật Luật tổ chức VKSND 2014, Chế độ tiền lương đối với Kiểm sát viên, Điều tra viên, Kiểm tra viên của Viện kiểm sát nhân dân do ……..quyết định",Ủy ban thường vụ Quốc hội,Chính phủ,Quốc hội,Viện trưởng Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quy định chế độ cấp phát và sử dụng trang phục ngành Kiểm sát nhân dân, phù hiệu, cấp hiệu của Lãnh đạo Viện kiểm sát nhân dân các cấp?",Ủy ban thường vụ Quốc hội,Viện trưởng Viện kiểm sát nhân dân tối cao,Viện kiểm sát nhân dân tối cao,Chính phủ
"Theo Luật Luật tổ chức VKSND 2014, Ở Viện kiểm sát nhân dân tối cao có thể được bố trí mấy ngạch Kiểm sát viên?",4,5,6,3
"Theo Luật Luật tổ chức VKSND 2014, Chủ thể nào quy định hình thức, chất liệu, màu sắc trang phục; chế độ cấp phát và sử dụng trang phục đối với các công chức khác, viên chức và người lao động khác của Viện kiểm sát nhân dân?",Viện trưởng Viện kiểm sát nhân dân tối cao,Ủy ban thường vụ Quốc hội,Chính phủ,Viện kiểm sát nhân dân tối cao
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn điều tra vụ án hình sự:","Đề ra yêu cầu điều tra và yêu cầu Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra thực hiện việc điều tra để làm rõ tội phạm, người phạm tội; yêu cầu Cơ quan điều tra truy nã bị can.","Quyết định việc gia hạn thời hạn điều tra, thời hạn tạm giam, chuyển vụ án, áp dụng thủ tục rút gọn, áp dụng biện pháp bắt buộc chữa bệnh.",Tất cả đều đúng,"Khởi tố hoặc yêu cầu Cơ quan điều tra khởi tố vụ án hình sự khi phát hiện hành vi của người có thẩm quyền trong việc giải quyết tố giác, tin báo về tội phạm, kiến nghị khởi tố và trong việc khởi tố, điều tra có dấu hiệu tội phạm"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát việc tiếp nhận, giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố là:","Trực tiếp kiểm sát; kiểm sát việc kiểm tra, xác minh, lập hồ sơ và kết quả giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra. Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra có trách nhiệm thông báo đầy đủ, kịp thời kết quả xác minh, giải quyết cho Viện kiểm sát nhân dân.","Hủy bỏ quyết định tạm giữ, các quyết định tố tụng khác trái pháp luật của cơ quan có thẩm quyền trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố.","Phê chuẩn, không phê chuẩn việc bắt người trong trường hợp khẩn cấp, gia hạn tạm giữ và các biện pháp khác hạn chế quyền con người, quyền công dân trong việc giải quyết tố giác, tin báo về tội phạm và kiến nghị khởi tố.",Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Ở Viện kiểm sát nhân dân cấp nào có thể được bố trí ngạch Kiểm sát viên Viện kiểm sát nhân dân tối cao?",Viện kiểm sát nhân dân tối cao,Viện kiểm sát quân sự quân khu và tương đương,Tất cả đều đúng\,Viện trưởng Viện kiểm sát nhân dân cấp tỉnh
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi thực hành quyền công tố trong giai đoạn xét xử vụ án hình sự là?","Công bố cáo trạng hoặc quyết định truy tố theo thủ tục rút gọn, quyết định khác về việc buộc tội đối với bị cáo tại phiên tòa",Tất cả đều đúng,Kiểm sát việc tuân theo pháp luật trong việc xét xử các vụ án hình sự của Tòa án,"Kiểm sát bản án, quyết định của Tòa án"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện kiểm sát nhân dân khi kiểm sát điều tra vụ án hình sự là?","Kiểm sát việc tuân theo pháp luật trong việc khởi tố, điều tra và lập hồ sơ vụ án của Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra.",Tất cả đều đúng,"Quyết định việc gia hạn thời hạn điều tra, thời hạn tạm giam, chuyển vụ án, áp dụng thủ tục rút gọn, áp dụng biện pháp bắt buộc chữa bệnh","Đề ra yêu cầu điều tra và yêu cầu Cơ quan điều tra, cơ quan được giao nhiệm vụ tiến hành một số hoạt động điều tra thực hiện việc điều tra để làm rõ tội phạm, người phạm tội; yêu cầu Cơ quan điều tra truy nã bị can"
"Theo Luật Luật tổ chức VKSND 2014, Ban hành thông tư, quyết định, chỉ thị, điều lệ, quy chế, chế độ công tác áp dụng đối với Viện kiểm sát nhân dân là Nhiệm vụ, quyền hạn của?",Viện trưởng Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát nhân dân cấp cao,Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát quân sự trung ương
"Theo Luật Luật tổ chức VKSND 2014, Ngạch Kiểm sát viên Viện kiểm sát nhân dân gồm có mấy ngạch:",4,3,6,5
"Theo Luật Luật tổ chức VKSND 2014, Các chức danh tư pháp trong Viện kiểm sát nhân dân là:",Phó thủ trưởng Cơ quan điều tra,Công chức,An ninh,
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",tất cả đều đúng,Trình Chính phủ ý kiến của mình về những trường hợp người bị kết án xin ân giảm án tử hình,Chịu trách nhiệm và báo cáo công tác trước Quốc hội,"Kiến nghị với Chủ tịch nước trong công tác đấu tranh phòng, chống tội phạm và vi phạm pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:","đề nghị Ủy ban thường vụ Quốc hội giải thích Hiến pháp, luật, pháp lệnh",Trình Chính phủ ý kiến của mình về những trường hợp người bị kết án xin ân giảm án tử hình,Chịu trách nhiệm và báo cáo công tác trước Quốc hội,"Kiến nghị với Chủ tịch nước trong công tác đấu tranh phòng, chống tội phạm và vi phạm pháp luật"
"Theo Luật Luật tổ chức VKSND 2014, Nhiệm vụ, quyền hạn của Viện trưởng Viện kiểm sát nhân dân tối cao là:",Chịu trách nhiệm và báo cáo công tác trước Quốc hội,Trình Chính phủ ý kiến của mình về những trường hợp người bị kết án xin ân giảm án tử hình,"Kiến nghị với Chủ tịch nước trong công tác đấu tranh phòng, chống tội phạm và vi phạm pháp luật",Tất cả đều đúng
"Theo Luật Luật tổ chức VKSND 2014, Đâu không phải là các chức danh tư pháp trong Viện kiểm sát nhân dân:",Nhân viên,Kiểm tra viên,Phó Viện trưởng Viện kiểm sát nhân dân,Viện trưởng
"Theo Luật Luật tổ chức VKSND 2014, Đâu không phải là các chức danh tư pháp trong Viện kiểm sát nhân dân:",Nhân viên,Kiểm tra viên,Phó Viện trưởng Viện kiểm sát nhân dân,Viện trưởng
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân cấp cao do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao,Chủ tịch Quốc hội,Ủy ban thường vụ Quốc hội,Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Phó Viện trưởng Viện kiểm sát nhân dân cấp cao do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức",Viện trưởng Viện kiểm sát nhân dân tối cao,Chủ tịch Quốc hội,Quốc hội,
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân cấp huyện do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức.",Viện trưởng Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát nhân dân cấp tỉnh,Chủ tịch UBND cấp tỉnh,Viện trưởng Viện kiểm sát nhân dân cấp cao
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát quân sự quân khu và tương đương do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao,Quốc hội,Viện trưởng Viện kiểm sát quân sự trung ương,Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát quân sự trung ương do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Chủ tịch nước,Viện trưởng Viện kiểm sát nhân dân tối cao,Quốc hội,Chủ tịch Quốc hội
"Theo Luật Luật tổ chức VKSND 2014, Việc thành lập, giải thể Viện kiểm sát quân sự quân khu và tương đương, Viện kiểm sát quân sự khu vực do ai quyết định?",Ủy ban thường vụ Quốc hội,Viện trưởng Viện kiểm sát nhân dân tối cao,Bộ trưởng Bộ Quốc phòng,Chính phủ
"Theo Luật Luật tổ chức VKSND 2014, Viện trưởng Viện kiểm sát nhân dân cấp tỉnh do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao,Chủ tịch Quốc hội,Quốc hội,Viện trưởng Viện kiểm sát nhân dân cấp cao
"Theo Luật Luật tổ chức VKSND 2014, Các ngạch Kiểm sát viên Viện kiểm sát nhân dân là:",Kiểm sát viên cao cấp,Kiểm sát viên chính,Nhân viên,Kiểm sát viên
"Theo Luật Luật tổ chức VKSND 2014, Tiêu chuẩn chung của Kiểm sát viên là",Có trình độ cử nhân luật trở lên,Có sức khỏe,Tất cả đều đúng,Đã được đào tạo về nghiệp vụ luật
"Theo Luật Luật tổ chức VKSND 2014, Phó Viện trưởng Viện kiểm sát quân sự trung ương do chủ thể nào bổ nhiệm, miễn nhiệm, cách chức?",Viện trưởng Viện kiểm sát nhân dân tối cao,Viện trưởng Viện kiểm sát quân sự trung ương,Thủ tướng Chính phủ,Chủ tịch nước
"Theo Luật Luật tổ chức VKSND 2014, Những việc Kiểm sát viên không được làm là",Tất cả đều đúng,"Lợi dụng, lạm dụng nhiệm vụ, quyền hạn; sử dụng thông tin liên quan đến công vụ để vụ lợi.","Trốn tránh trách nhiệm, thoái thác nhiệm vụ được giao; gây bè phái, mất đoàn kết; tự ý bỏ việc hoặc tham gia đình công","Phân biệt đối xử dân tộc, nam nữ, thành phần xã hội, tín ngưỡng, tôn giáo dưới mọi hình thức."
